DateStamp,TimeStamp,D1_B004_16430361_PODSN
05/02/2022,16:11:05,72.8,37.4
05/02/2022,16:15:02,72.5,35.7
05/02/2022,16:20:03,72.2,36.2
05/02/2022,16:25:03,71.5,40.6
05/02/2022,16:30:03,72.3,38.1
05/02/2022,16:35:03,72.7,36.4
05/02/2022,16:40:03,72.2,35.4
05/02/2022,16:45:03,71.1,40.9
05/02/2022,16:50:03,71.7,40.0
05/02/2022,16:55:03,72.4,38.8
05/02/2022,17:00:03,71.4,37.3
05/02/2022,17:05:03,70.6,40.6
05/02/2022,17:10:03,71.5,39.2
05/02/2022,17:15:03,72.1,38.5
05/02/2022,17:20:03,72.4,38.2
05/02/2022,17:25:03,72.1,36.8
05/02/2022,17:30:03,70.3,39.5
05/02/2022,17:35:03,71.0,39.5
05/02/2022,17:40:03,71.7,38.6
05/02/2022,17:45:03,72.1,38.1
05/02/2022,17:50:03,72.6,37.1
05/02/2022,17:55:03,70.9,36.6
05/02/2022,18:00:03,70.6,39.8
05/02/2022,18:05:03,71.4,38.6
05/02/2022,18:10:03,71.9,38.0
05/02/2022,18:15:03,72.2,37.5
05/02/2022,18:20:03,72.4,36.5
05/02/2022,18:25:03,72.1,35.6
05/02/2022,18:30:03,71.4,35.5
05/02/2022,18:35:03,70.7,40.4
05/02/2022,18:40:03,71.4,38.7
05/02/2022,18:45:03,72.0,36.7
05/02/2022,18:50:03,71.6,35.9
05/02/2022,18:55:03,70.8,38.4
05/02/2022,19:00:03,70.8,39.5
05/02/2022,19:05:03,71.5,38.2
05/02/2022,19:10:03,72.1,37.1
05/02/2022,19:15:03,71.8,36.0
05/02/2022,19:20:03,71.2,35.6
05/02/2022,19:25:03,70.8,40.0
05/02/2022,19:30:03,71.4,38.4
05/02/2022,19:35:03,71.9,37.6
05/02/2022,19:40:03,72.1,36.9
05/02/2022,19:45:03,72.2,36.0
05/02/2022,19:50:03,71.4,38.2
05/02/2022,19:55:03,71.4,38.0
05/02/2022,20:00:03,71.9,37.3
05/02/2022,20:05:03,72.1,36.8
05/02/2022,20:10:03,72.3,36.2
05/02/2022,20:15:03,71.9,35.6
05/02/2022,20:20:03,71.3,38.1
05/02/2022,20:25:03,72.0,37.0
05/02/2022,20:30:03,72.0,35.8
05/02/2022,20:35:03,70.8,38.6
05/02/2022,20:40:03,71.6,36.9
05/02/2022,20:45:03,71.9,35.4
05/02/2022,20:50:03,71.2,36.8
05/02/2022,20:55:03,71.3,37.1
05/02/2022,21:00:03,72.1,36.1
05/02/2022,21:05:03,71.8,35.2
05/02/2022,21:10:03,70.9,37.5
05/02/2022,21:15:03,71.6,36.7
05/02/2022,21:20:03,72.1,35.7
05/02/2022,21:25:03,71.6,35.5
05/02/2022,21:30:03,70.8,39.3
05/02/2022,21:35:03,71.4,37.6
05/02/2022,21:40:03,72.0,36.1
05/02/2022,21:45:03,71.6,36.2
05/02/2022,21:50:03,70.8,39.1
05/02/2022,21:55:03,71.3,37.8
05/02/2022,22:00:03,72.1,37.0
05/02/2022,22:05:03,71.8,36.4
05/02/2022,22:10:03,71.1,36.6
05/02/2022,22:15:03,71.0,39.1
05/02/2022,22:20:03,71.7,38.1
05/02/2022,22:25:03,72.1,37.1
05/02/2022,22:30:03,71.4,37.0
05/02/2022,22:35:03,70.9,39.7
05/02/2022,22:40:03,71.6,38.7
05/02/2022,22:45:03,72.1,37.7
05/02/2022,22:50:03,71.4,37.3
05/02/2022,22:55:03,70.9,40.4
05/02/2022,23:00:03,71.1,40.1
05/02/2022,23:05:03,71.7,39.0
05/02/2022,23:10:03,72.2,38.4
05/02/2022,23:15:03,71.8,37.5
05/02/2022,23:20:03,71.4,37.6
05/02/2022,23:25:03,70.8,41.0
05/02/2022,23:30:03,71.6,39.4
05/02/2022,23:35:03,72.1,37.6
05/02/2022,23:40:03,71.3,37.4
05/02/2022,23:45:03,70.8,40.7
05/02/2022,23:50:03,71.5,39.2
05/02/2022,23:55:03,71.9,38.4
05/03/2022,00:00:03,72.2,37.5
05/03/2022,00:05:03,71.6,36.8
05/03/2022,00:10:03,70.8,39.9
05/03/2022,00:15:03,71.1,39.5
05/03/2022,00:20:03,71.9,37.5
05/03/2022,00:25:03,71.6,36.7
05/03/2022,00:30:03,70.7,39.1
05/03/2022,00:35:03,71.7,37.9
05/03/2022,00:40:03,71.8,36.6
05/03/2022,00:45:03,71.1,36.5
05/03/2022,00:50:03,70.6,40.0
05/03/2022,00:55:03,71.4,38.5
05/03/2022,01:00:03,72.0,36.4
05/03/2022,01:05:03,71.4,36.2
05/03/2022,01:10:03,71.1,36.6
05/03/2022,01:15:03,70.8,38.9
05/03/2022,01:20:03,71.7,37.6
05/03/2022,01:25:03,71.8,35.9
05/03/2022,01:30:03,71.1,35.8
05/03/2022,01:35:03,70.6,39.3
05/03/2022,01:40:03,71.3,38.0
05/03/2022,01:45:03,71.9,36.9
05/03/2022,01:50:03,71.9,35.6
05/03/2022,01:55:03,71.0,35.7
05/03/2022,02:00:03,70.7,38.5
05/03/2022,02:05:03,71.6,37.4
05/03/2022,02:10:03,71.6,35.7
05/03/2022,02:15:03,70.7,39.2
05/03/2022,02:20:03,71.2,37.5
05/03/2022,02:25:03,71.8,35.8
05/03/2022,02:30:03,71.1,36.0
05/03/2022,02:35:03,70.6,39.1
05/03/2022,02:40:03,71.1,37.8
05/03/2022,02:45:03,71.8,36.6
05/03/2022,02:50:03,71.6,35.6
05/03/2022,02:55:03,70.8,38.7
05/03/2022,03:00:03,71.1,37.3
05/03/2022,03:05:03,71.9,35.7
05/03/2022,03:10:03,71.3,35.5
05/03/2022,03:15:03,70.7,37.6
05/03/2022,03:20:03,71.5,36.6
05/03/2022,03:25:03,72.0,35.8
05/03/2022,03:30:03,71.6,35.1
05/03/2022,03:35:03,71.0,35.4
05/03/2022,03:40:03,70.8,37.8
05/03/2022,03:45:03,71.6,36.7
05/03/2022,03:50:03,71.8,35.5
05/03/2022,03:55:03,71.1,37.8
05/03/2022,04:00:03,71.4,36.8
05/03/2022,04:05:03,71.7,35.6
05/03/2022,04:10:03,71.0,35.8
05/03/2022,04:15:03,70.6,38.5
05/03/2022,04:20:03,71.4,37.4
05/03/2022,04:25:03,72.0,36.5
05/03/2022,04:30:03,71.5,36.2
05/03/2022,04:35:03,70.9,37.4
05/03/2022,04:40:03,70.9,38.5
05/03/2022,04:45:03,71.8,37.3
05/03/2022,04:50:03,71.5,36.4
05/03/2022,04:55:03,70.9,36.3
05/03/2022,05:00:03,70.4,40.5
05/03/2022,05:05:03,71.2,39.0
05/03/2022,05:10:03,71.8,37.1
05/03/2022,05:15:03,70.9,37.3
05/03/2022,05:20:03,70.6,40.6
05/03/2022,05:25:03,70.9,39.8
05/03/2022,05:30:03,71.8,38.1
05/03/2022,05:35:03,71.2,37.6
05/03/2022,05:40:03,71.0,36.9
05/03/2022,05:45:03,70.2,42.1
05/03/2022,05:50:03,71.1,40.2
05/03/2022,05:55:03,71.7,38.3
05/03/2022,06:00:03,71.2,37.7
05/03/2022,06:05:03,70.5,40.7
05/03/2022,06:10:03,71.6,39.2
05/03/2022,06:15:03,71.4,38.1
05/03/2022,06:20:03,70.9,39.8
05/03/2022,06:25:03,70.9,40.7
05/03/2022,06:30:03,71.8,38.5
05/03/2022,06:35:03,71.3,38.3
05/03/2022,06:40:03,70.5,41.9
05/03/2022,06:45:03,71.2,40.2
05/03/2022,06:50:03,71.9,38.7
05/03/2022,06:55:03,71.3,38.0
05/03/2022,07:00:03,70.7,40.0
05/03/2022,07:05:03,71.1,40.9
05/03/2022,07:10:03,71.6,39.7
05/03/2022,07:15:03,71.9,39.1
05/03/2022,07:20:03,72.2,38.7
05/03/2022,07:25:03,72.1,37.8
05/03/2022,07:30:03,71.4,38.7
05/03/2022,07:35:03,70.9,41.6
05/03/2022,07:40:03,71.7,40.0
05/03/2022,07:45:03,71.8,38.4
05/03/2022,07:50:03,71.5,38.0
05/03/2022,07:55:03,70.6,41.9
05/03/2022,08:00:03,70.9,42.2
05/03/2022,08:05:03,71.8,39.7
05/03/2022,08:10:03,71.2,41.8
05/03/2022,08:15:03,71.7,40.9
05/03/2022,08:20:03,72.3,40.0
05/03/2022,08:25:03,72.5,39.7
05/03/2022,08:30:03,72.8,39.5
05/03/2022,08:35:03,73.0,39.0
05/03/2022,08:40:03,72.6,38.5
05/03/2022,08:45:03,71.7,42.1
05/03/2022,08:50:03,72.3,41.3
05/03/2022,08:55:03,72.9,40.2
05/03/2022,09:00:03,73.2,40.0
05/03/2022,09:05:03,73.4,39.5
05/03/2022,09:10:03,73.5,39.0
05/03/2022,09:15:03,73.6,38.4
05/03/2022,09:20:03,73.0,38.0
05/03/2022,09:25:03,72.0,42.1
