DateStamp,TimeStamp,T1_A001_16456805_19045539
06/08/2022,12:06:08,71.9,41.5
06/08/2022,12:06:16,71.9,41.5
06/08/2022,12:06:23,72.0,41.3
06/08/2022,12:07:02,72.1,40.8
06/08/2022,12:08:03,72.1,40.4
06/08/2022,12:09:03,72.0,39.9
06/08/2022,12:10:03,72.0,39.5
06/08/2022,12:11:03,72.0,39.1
06/08/2022,12:12:03,71.8,38.8
06/08/2022,12:13:03,71.6,39.0
06/08/2022,12:14:03,71.4,39.3
06/08/2022,12:15:03,71.4,39.4
06/08/2022,12:16:03,71.0,42.3
06/08/2022,12:17:03,71.0,42.7
06/08/2022,12:18:03,71.1,43.7
06/08/2022,12:19:03,71.1,44.1
06/08/2022,12:20:03,71.1,44.8
06/08/2022,12:21:03,71.1,45.0
06/08/2022,12:22:03,71.2,45.0
06/08/2022,12:23:03,71.2,45.1
06/08/2022,12:24:03,71.2,45.2
06/08/2022,12:25:03,71.4,44.4
06/08/2022,12:26:03,71.5,44.3
06/08/2022,12:27:03,71.6,43.7
06/08/2022,12:28:03,71.8,43.6
06/08/2022,12:29:03,71.8,43.5
06/08/2022,12:30:03,72.0,43.3
06/08/2022,12:31:03,72.1,43.0
06/08/2022,12:32:03,72.1,42.8
06/08/2022,12:33:03,72.3,42.7
06/08/2022,12:34:03,72.3,42.5
06/08/2022,12:35:03,72.3,42.4
06/08/2022,12:36:03,72.4,42.2
06/08/2022,12:37:03,72.4,42.0
06/08/2022,12:38:03,72.4,41.8
06/08/2022,12:39:03,72.4,41.5
06/08/2022,12:40:03,72.3,41.4
06/08/2022,12:41:03,72.3,41.7
06/08/2022,12:42:03,72.2,41.5
06/08/2022,12:43:03,72.6,42.4
06/08/2022,12:44:03,72.7,41.2
06/08/2022,12:45:03,72.7,41.2
06/08/2022,12:46:03,72.7,41.2
06/08/2022,12:47:03,72.7,41.1
06/08/2022,12:48:03,72.7,40.9
06/08/2022,12:49:03,72.7,40.7
06/08/2022,12:50:03,72.7,40.7
06/08/2022,12:51:03,72.8,40.7
06/08/2022,12:52:03,72.7,40.8
06/08/2022,12:53:03,72.8,40.8
06/08/2022,12:54:03,72.8,40.6
06/08/2022,12:55:03,72.8,40.5
06/08/2022,12:56:03,72.8,40.5
06/08/2022,12:57:03,72.8,40.5
06/08/2022,12:58:03,72.8,40.5
06/08/2022,12:59:03,72.8,40.3
06/08/2022,13:00:03,72.8,40.1
06/08/2022,13:01:03,72.7,40.1
06/08/2022,13:02:03,72.7,40.0
06/08/2022,13:03:03,72.8,39.9
06/08/2022,13:04:03,72.6,39.9
06/08/2022,13:05:03,72.7,40.1
06/08/2022,13:06:03,72.6,40.2
06/08/2022,13:07:03,72.7,40.6
06/08/2022,13:08:03,72.7,40.4
06/08/2022,13:09:03,72.8,40.5
06/08/2022,13:10:03,72.8,40.5
06/08/2022,13:11:03,72.8,40.7
06/08/2022,13:12:03,72.9,40.7
06/08/2022,13:13:03,72.9,40.8
06/08/2022,13:14:03,73.0,40.7
06/08/2022,13:15:03,73.0,40.9
06/08/2022,13:16:03,73.1,40.3
